4250:251+0:4418548@1,0,0;map 1
9885:589+0:10053859@2,9,1;map 2
23302:1394+0:23470609@2,9,4;injury 17
26669:1596+0:26837322@9,0,7;map 9
34536:2068+0:34704094@9,11,4;injury 21
49969:2994+0:50137564@10,0,7;map 10
59936:3592+0:60104208@10,2,7;item-first 13*0
62087:3721+0:62254205@67,2,1;map 67
63201:3788+0:63368774@10,9,3;map 10
64070:3840+0:64237502@67,2,1;map 67
79620:4773+0:79787451@10,9,3;map 10
89803:5384+0:89970925@9,17,1;map 9
97270:5832+0:97437656@2,20,7;map 2
100353:6017+0:100520898@5,20,7;map 5
105837:6346+0:106004385@28,16,1;map 28
107770:6462+0:107937726@28,8,5;item-first 2*0
152270:9132+0:152437781@5,14,2;map 5
162354:9737+0:162521241@5,4,6;plant 4,6
168470:10104+0:168637874@8,10,0;map 8
171420:10281+0:171587960@30,11,6;map 30
177787:10663+0:177954699@8,9,9;map 8
195971:11754+0:196138093@29,13,3;map 29
205221:12309+0:205388052@8,7,9;map 8
207454:12443+0:207621514@7,3,2;map 7
213954:12833+0:214121533@8,0,8;map 8
214637:12874+0:214804899@7,3,2;map 7
217021:13017+0:217188143@32,11,5;map 32
245002:14696+0:245169505@32,10,5;sketch 10,4,0x0
250519:15027+0:250686264@32,10,5;sketch 10,4,0x0
264969:15894+0:265136392@32,10,5;sketch 10,4,0x84000
286771:17202+0:286938545@7,6,6;map 7
292238:17530+0:292405255@8,0,9;map 8
